text,category
"dirty water coming from taps","Water Supply"
"low water pressure in the area","Water Supply"
"water supply disrupted in entire colony","Water Supply"
"contaminated water supply causing illness","Water Supply"
"water tank not cleaned for months","Water Supply"
"water meter faulty and showing wrong reading","Water Supply"
"water leakage from underground pipe","Water Supply"
"no drinking water available in ward","Water Supply"
"brown coloured dirty water coming from municipal supply","Water Supply"
"water supply timing changed without notice affecting residents","Water Supply"
"water tanker not arriving despite booking three days ago","Water Supply"
"pipeline burst on main road wasting thousands of litres","Water Supply"
"overhead water tank in building not filled for two days","Water Supply"
"water supply only for one hour instead of promised four hours","Water Supply"
"residents forced to buy water due to no municipal supply","Water Supply"
"water bill amount incorrect and too high","Water Supply"
"water connection illegally tapped from main pipeline","Water Supply"
"foul smell in tap water making it undrinkable","Water Supply"
"water supply valve broken and cannot be shut","Water Supply"
"new water connection applied six months ago not given yet","Water Supply"
"water pressure so low it does not reach upper floors","Water Supply"
"water meter not working for three months no action taken","Water Supply"
"water supply pipeline leaking under road for many days","Water Supply"
"children falling sick due to contaminated municipal water","Water Supply"
"water supply stopped since road digging work started","Water Supply"
"public water tap broken and water wasting continuously","Water Supply"
"water supply unequal between different areas of ward","Water Supply"
"sewage water mixing with drinking water pipeline","Water Supply"
"streetlight not working for many days","Streetlight / Electricity"
"electric pole leaning dangerously","Streetlight / Electricity"
"live wire hanging from electric pole","Streetlight / Electricity"
"power outage in residential area","Streetlight / Electricity"
"transformer damaged causing no electricity","Streetlight / Electricity"
"electric shock hazard near substation","Streetlight / Electricity"
"streetlights off entire night unsafe","Streetlight / Electricity"
"broken electric meter causing billing issues","Streetlight / Electricity"
"electricity poles damaged by storm","Streetlight / Electricity"
"no power supply for 24 hours","Streetlight / Electricity"
"electric wire fallen on road after heavy rain very dangerous","Streetlight / Electricity"
"streetlight flickering all night causing disturbance","Streetlight / Electricity"
"high tension wire hanging too low near footpath","Streetlight / Electricity"
"transformer humming loudly and sparking in residential area","Streetlight / Electricity"
"frequent power cuts every two hours in summer","Streetlight / Electricity"
"electricity bill abnormally high meter reading wrong","Streetlight / Electricity"
"underground cable work started road dug up not restored","Streetlight / Electricity"
"electric pole base cracked and pole about to fall","Streetlight / Electricity"
"no street lights on entire road making it unsafe at night","Streetlight / Electricity"
"children playing near exposed electric box dangerous","Streetlight / Electricity"
"streetlights working during day and off at night","Streetlight / Electricity"
"power supply voltage fluctuation damaging appliances","Streetlight / Electricity"
"electric spark seen from meter box near my house","Streetlight / Electricity"
"new electricity connection applied but not given for months","Streetlight / Electricity"
"streetlight pole fallen blocking road after storm","Streetlight / Electricity"
"three phase power supply giving only single phase","Streetlight / Electricity"
"electric cables sagging dangerously low near trees","Streetlight / Electricity"
"no response from electricity department for broken streetlight","Streetlight / Electricity"
"power cut every evening exactly during cooking hours","Streetlight / Electricity"
"faulty electrical installation sparking near school building","Streetlight / Electricity"
"traffic signal not working at intersection","Traffic Signal"
"traffic light broken causing accidents","Traffic Signal"
"traffic jam due to signal malfunction","Traffic Signal"
"signal timing incorrect causing congestion","Traffic Signal"
"no traffic signal at busy crossing","Traffic Signal"
"traffic signal pole fallen on road","Traffic Signal"
"blinking traffic light causing confusion","Traffic Signal"
"traffic signal cables stolen","Traffic Signal"
"pedestrian signal not working","Traffic Signal"
"traffic chaos due to broken signal","Traffic Signal"
"traffic signal showing green for all sides simultaneously dangerous","Traffic Signal"
"signal timing too short vehicles cannot cross in time","Traffic Signal"
"traffic signal completely dark at night no indication","Traffic Signal"
"signal light covers broken and arrows not visible","Traffic Signal"
"no pedestrian countdown timer at school zone crossing","Traffic Signal"
"traffic signal out of sync with adjacent signals causing jams","Traffic Signal"
"signal pole bent after accident and not repaired","Traffic Signal"
"traffic signal solar panel broken running on backup only","Traffic Signal"
"no traffic signal at newly developed residential area junction","Traffic Signal"
"signal light only showing red never turning green","Traffic Signal"
"traffic police removed but no signal installed causing chaos","Traffic Signal"
"signal timing not adjusted for peak hour traffic","Traffic Signal"
"traffic signal wiring exposed and hanging dangerously","Traffic Signal"
"broken signal causing road rage and accidents daily","Traffic Signal"
"U-turn signal missing causing wrong way driving","Traffic Signal"
"school zone signal not working children crossing unsafely","Traffic Signal"
"signal camera not working violations happening freely","Traffic Signal"
"traffic signal response button for pedestrians not working","Traffic Signal"
"signal box door open exposing wires to rain","Traffic Signal"
"traffic signal installed but never switched on for months","Traffic Signal"
"loud music from neighbors at night","Noise Complaint"
"construction noise all night long","Noise Complaint"
"factory noise pollution in residential area","Noise Complaint"
"vehicle honking noise unbearable","Noise Complaint"
"loudspeaker noise violation at temple","Noise Complaint"
"bar and pub making too much noise","Noise Complaint"
"dogs barking all night disturbing residents","Noise Complaint"
"noise pollution from nearby market","Noise Complaint"
"industrial noise beyond permitted hours","Noise Complaint"
"party noise late at night","Noise Complaint"
"DJ music playing past midnight in residential colony","Noise Complaint"
"drilling and hammering from construction site before six am","Noise Complaint"
"generator running all night making sleep impossible","Noise Complaint"
"wedding celebration noise with firecrackers after eleven pm","Noise Complaint"
"political rally loudspeakers causing noise pollution all day","Noise Complaint"
"auto repair shop operating with loud machines near homes","Noise Complaint"
"garbage truck horn blowing loudly at five am daily","Noise Complaint"
"school children cannot study due to nearby construction noise","Noise Complaint"
"hospital patients disturbed by loud music from nearby shop","Noise Complaint"
"fireworks burst at midnight disturbing sleep of entire area","Noise Complaint"
"pressure horn vehicles passing through residential zone","Noise Complaint"
"temple loudspeaker volume beyond permissible limits","Noise Complaint"
"nightclub music audible inside homes with windows closed","Noise Complaint"
"loud arguments and fighting in neighboring flat daily","Noise Complaint"
"power tools used by neighbor during afternoon rest hours","Noise Complaint"
"heavy vehicle movement at night causing noise and vibration","Noise Complaint"
"crackers burst continuously for three hours near school","Noise Complaint"
"factory siren going off multiple times disturbing residents","Noise Complaint"
"bus depot nearby with buses honking from early morning","Noise Complaint"
"illegal stone crusher operating near residential buildings","Noise Complaint"
"stray dogs attacking people in park","Other"
"illegal construction blocking public road","Other"
"trees fallen after storm blocking road","Other"
"park maintenance not done for months","Other"
"public toilet not cleaned","Other"
"graffiti vandalism on public property","Other"
"encroachment on footpath by vendors","Other"
"parking violation blocking emergency access","Other"
"fire in abandoned building","Other"
"gas leak from cylinder near market","Other"
"stray cattle roaming on busy highway causing accidents","Other"
"illegal hoarding blocking road visibility at sharp curve","Other"
"public park swings broken dangerous for children","Other"
"open manhole in middle of road covered only with stone","Other"
"unauthorized parking on footpath forcing pedestrians to road","Other"
"beggars harassing commuters at bus stop daily","Other"
"encroachment on government land by builder","Other"
"public library closed for months without notice","Other"
"community hall booked illegally without permission","Other"
"dead tree about to fall on power lines needs urgent removal","Other"
"flooding in underpass after rain due to poor drainage","Other"
"hawkers occupying entire footpath blocking pedestrian movement","Other"
"illegal meat shop operating in residential zone","Other"
"fire hydrant blocked by illegally parked vehicles","Other"
"public bench in park broken and causing injury","Other"
"suspicious abandoned package found near bus stand","Other"
"school boundary wall collapsed posing danger to children","Other"
"illegal dumping of construction debris on public land","Other"
"broken bus stop shelter causing inconvenience in rain","Other"
"cctv camera at public park vandalized and not replaced","Other"
